ID,EN-US,ES-ES
236,"YOU ARE MY HOPE, O LORD","TÚ ERES MI ESPERANZA, SEÑOR"
237,"HYMN FOR VESPERS FROM EASTER TO THE ASCENSION","A LA CENA DEL CORDERO"
238,"","ADÓNDE TE ESCONDISTE, AMADO"
239,"AS HONEY DRIPS","COMO DESTILA LA MIEL"
240,"MY BELOVED IS TO ME","COMO LIRIO ENTRE LOS CARDOS"
241,"YOU ARE BEAUTIFUL, MY BELOVED, AS TIRZAH","HERMOSA ERES, AMIGA MÍA"
242,"THE DOVE HOVERED OVER","LA PALOMA VOLÓ"
243,"YOU STOLE MY HEART","ME ROBASTE EL CORAZÓN"
244,"","SUBA EL ESPOSO AL LEÑO DE SU TÁLAMO"
245,"",""
246,"",""
247,"",""
248,"",""
249,"",""
250,"GRACE BEFORE MEALS",""
251,"DOXOLOGY",""
252,"EUCHARISTIC PRAYER II - 2 CONSECRATION AND ACCLAMATION",""
253,"HYMN FOR LAUDS OF ADVENT AFTER DECEMBER 16",""
254,"HYMN FOR LAUDS OF ADVENT UNTIL DECEMBER 16",""
255,"HYMN FOR LAUDS OF PENTECOST",""
256,"HYMN OF LAUDS FROM EASTER TO THE ASCENSION",""
257,"INVOCATION OF THE HOLY SPIRIT",""
258,"THE CHILDREN OF BETHLEHEM",""
259,"THE LORD IS MY LIGHT AND MY SALVATION",""
260,"",""
261,"",""
262,"",""
263,"",""
264,"",""
265,"",""
266,"",""
267,"",""
268,"",""
269,"",""
270,"",""
271,"",""
272,"",""
273,"",""
274,"",""
275,"",""
276,"",""
277,"",""
278,"",""
279,"",""
280,"",""
281,"",""
282,"",""
283,"",""
284,"",""
285,"",""
286,"",""
287,"",""
288,"",""
289,"",""
290,"",""
291,"",""
292,"",""
293,"",""
294,"",""
295,"",""
296,"",""
297,"",""
298,"",""
299,"",""
